NumChunk,Chunk,CATChunk,Marqueurs,Regles
1,La Ligue,SN,Det:La + N_Prop:Ligue,Det+N_Prop -> SN
2,des champions,SP,P:des + N:champions,P+N -> SP
3,débutera,SV,V:débutera(Fut),V -> SV
4,en mars,SP,P:en + N_Prop:mars,P+N_Prop -> SP
5,pour laisser,SV,P:pour + Vinf:laisser,P+Vinf -> SV
6,le temps,SN,Det:le + N:temps,Det+N -> SN
7,aux clubs,SP,P:aux + N:clubs,P+N -> SP
8,de comprendre,SV,P:de + Vinf:comprendre,P+Vinf -> SV
9,la nouvelle formule,SN,Det:la + Adj:nouvelle + N:formule,Det+Adj+N -> SN
10,L'UEFA,SN,N_Prop:UEFA,N_Prop -> SN
11,a annoncé,SV,Aux:a + Vpart:annoncé,Aux+Vpart -> SV
12,ce matin,SAdv,Det:ce + N:matin,Det+N -> SAdv
13,que,CSub,CS:que,CS -> CSub
14,la plus célèbre,SAdj,Det:la + Adv:plus + Adj:célèbre,Det+Adv+Adj -> SAdj
15,des Coupes,SP,P:des + N_Prop:Coupes,P+N_Prop -> SP
16,d'Europe,SP,P:d' + N_Prop:Europe,P+N_Prop -> SP
17,ne débuterait pas,SV,Neg:ne + V:débuterait(Cond) + Neg:pas,Neg+V+Neg -> SV
18,en septembre,SP,P:en + N:septembre,P+N -> SP
19,",",PctNF,",",", -> PctNF"
20,comme prévu,SAdv,Adv_Comp:comme + Vpart:prévu,Adv_Comp+Vpart -> SAdv
21,initialement,SAdv,Adv:initialement,Adv -> SAdv
22,",",PctNF,",",", -> PctNF"
23,mais,Coord,CC:mais,CC -> Coord
24,au printemps,SP,P:au + N:printemps,P+N -> SP
25,pour laisser,SV,P:pour + Vinf:laisser,P+Vinf -> SV
26,aux joueurs,SP,P:aux + N:joueurs,P+N -> SP
27,et,Coord,CC:et,CC -> Coord
28,aux dirigeants,SP,P:aux + N:dirigeants,P+N -> SP
29,le temps,SN,Det:le + N:temps,Det+N -> SN
30,de comprendre,SV,P:de + Vinf:comprendre,P+Vinf -> SV
31,la nouvelle formule,SN,Det:la + Adj:nouvelle + N:formule,Det+Adj+N -> SN
32,.,PctF,.,. -> PctF
33,C'est officiel,Phrase,ProS:C' + Mod:est + Adj:officiel,ProS+Mod+Adj -> Phrase
34,.,PctF,.,. -> PctF
35,Chaque membre,SN,Det:Chaque + N:membre,Det+N -> SN
36,des clubs européens,SP,P:des + N:clubs + Adj:européens,P+N+Adj -> SP
37,engagés,SV,Vpart:engagés,Vpart -> SV
38,en Ligue,SP,P:en + N_Prop:Ligue,P+N_Prop -> SP
39,des champions,SP,P:des + N:champions,P+N -> SP
40,suivra,SV,V:suivra(Fut),V -> SV
41,une formation,SN,Det:une + N:formation,Det+N -> SN
42,de six mois,SP,P:de + Num:six + N:mois,P+Num+N -> SP
43,à partir,SAdv,P:à + Vinf:partir,P+Vinf -> SAdv
44,du premier septembre,SP,P:du + Adj:premier + N:septembre,P+Adj+N -> SP
45,pour assimiler,SV,P:pour + Vinf:assimiler,P+Vinf -> SV
46,toutes les règles,SN,Det:toutes + Det:les + N:règles,Det+Det+N -> SN
47,de la nouvelle compétition,SP,P:de + Det:la + Adj:nouvelle + N:compétition,P+Det+Adj+N -> SP
48,.,PctF,.,. -> PctF
49,Pour cela,SP,P:Pour + Pro:cela,P+Pro -> SP
50,",",PctNF,",",", -> PctNF"
51,les joueurs,SN,Det:les + N:joueurs,Det+N -> SN
52,et,Coord,CC:et,CC -> Coord
53,les dirigeants,SN,Det:les + N:dirigeants,Det+N -> SN
54,devront,SV,Mod_V:devront,Mod_V -> SV
55,se rendre,SV,Pref:se + Vinf:rendre,Pref+Vinf -> SV
56,quotidiennement,SAdv,Adv:quotidiennement,Adv -> SAdv
57,à des cours,SP,P:à + Det:des + N:cours,P+Det+N -> SP
58,du soir,SP,P:du + N:soir,P+N -> SP
59,",",PctNF,",",", -> PctNF"
60,de 18h,SP,P:de + Num:18h,P+Num -> SP
61,à 20h,SP,P:à + Num:20h,P+Num -> SP
62,",",PctNF,",",", -> PctNF"
63,et,Coord,CC:et,CC -> Coord
64,consacrer,SV,Vinf:consacrer,Vinf -> SV
65,un week-end,SN,Det:un + N:week-end,Det+N -> SN
66,sur deux,SP,P:sur + Num:deux,P+Num -> SP
67,à l'étude,SP,P:à + Det:l' + N:étude,P+Det+N -> SP
68,de la nouvelle formule,SP,P:de + Det:la + Adj:nouvelle + N:formule,P+Det+Adj+N -> SP
69,.,PctF,.,. -> PctF
70,Au cours,SP,P:Au + N:cours,P+N -> SP
71,de cette formation,SP,P:de + Det:cette + N:formation,P+Det+N -> SP
72,",",PctNF,",",", -> PctNF"
73,ils seront,SujV,PPS:ils + Mod:seront,PPS+Mod -> SujV
74,notamment,SAdv,Adv:notamment,Adv -> SAdv
75,invités,SV,Vpart:invités,Vpart -> SV
76,à regarder,SV,P:à + Vinf:regarder,P+Vinf -> SV
77,l'émission Pyramide,SN,Det:l' + N:émission + N_Prop:Pyramide,Det+N+N_Prop -> SN
78,présentée,SV,Vpart:présentée,Vpart -> SV
79,par feu Patrice Laffont,SP,P:par + N:feu + N_Prop:Patrice + N_Prop:Laffont,P+N+N_Prop+N_Prop -> SP
80,",",PctNF,",",", -> PctNF"
81,à lire,SV,P:à + Vinf:lire,P+Vinf -> SV
82,des poèmes,SN,Det:des + N:poèmes,Det+N -> SN
83,de Mallarmé,SP,P:de + N_Prop:Mallarmé,P+N_Prop -> SP
84,",",PctNF,",",", -> PctNF"
85,mais,Coord,CC:mais,CC -> Coord
86,aussi,SAdv,Adv:aussi,Adv -> SAdv
87,à écouter,SV,P:à + Vinf:écouter,P+Vinf -> SV
88,des discours,SN,Det:des + N:discours,Det+N -> SN
89,de Jean Castex,SP,P:de + N_Prop:Jean + N_Prop:Castex,P+N_Prop+N_Prop -> SP
90,et,Coord,CC:et,CC -> Coord
91,des chansons,SN,Det:des + N:chansons,Det+N -> SN
92,de Pierre de Maere,SP,P:de + N_Prop:Pierre + P:de + N_Prop:Maere,P+N_Prop+P+N_Prop -> SP
93,pour que,CSub,P:pour + CS:que,P+CS -> CSub
94,la nouvelle organisation,SN,Det:la + Adj:nouvelle + N:organisation,Det+Adj+N -> SN
95,leur apparaisse,SV,Pro_Compl:leur + V:apparaisse(Subj),Pro_Compl+V -> SV
96,claire,SAdj,Adj:claire,Adj -> SAdj
97,par contraste,SP,P:par + N:contraste,P+N -> SP
98,.,PctF,.,. -> PctF
99,Le président,SN,Det:Le + N:président,Det+N -> SN
100,de l'UEFA,SP,P:de + Det:l' + N_Prop:UEFA,P+Det+N_Prop -> SP
101,",",PctNF,",",", -> PctNF"
102,Aleksander Čeferin,SN,N_Prop:Aleksander + N_Prop:Čeferin,N_Prop+N_Prop -> SN
103,",",PctNF,",",", -> PctNF"
104,s'est toutefois,SAdv,Pref:s' + Mod:est + Adv:toutefois,Pref+Mod+Adv -> SAdv
105,voulu rassurant,SV,Vpart:voulu + Adj:rassurant,Vpart+Adj -> SV
106,en déclarant,SV,P:en + Vpart:déclarant,P+Vpart -> SV
107,:,PctF,:,: -> PctF
108,« Les clubs français,SN,Quote_O:« + Det:Les + N:clubs + Adj:français,Quote_O+Det+N+Adj -> SN
109,pourront continuer,SV,Mod_V:pourront + Vinf:continuer,Mod_V+Vinf -> SV
110,à perdre,SV,P:à + Vinf:perdre,P+Vinf -> SV
111,",",PctNF,",",", -> PctNF"
112,comme d'habitude,SAdv,Adv_Comp:comme + P:d' + N:habitude,Adv_Comp+P+N -> SAdv
113,",",PctNF,",",", -> PctNF"
114,c'est simplement,SAdv,ProS:c' + Mod:est + Adv:simplement,ProS+Mod+Adv -> SAdv
115,qu',CSub,CS:qu',CS -> CSub
116,ils ne pourront pas,SujV,PPS:ils + Neg:ne + Mod_V:pourront + Neg:pas,PPS+Neg+Mod_V+Neg -> SujV
117,le faire,SV,Pro_Obj:le + Vinf:faire,Pro_Obj+Vinf -> SV
118,tout à fait,SAdv,Adv_Loc:tout à fait,Adv_Loc -> SAdv
119,selon les mêmes règles,SP,P:selon + Det:les + Adj:mêmes + N:règles,P+Det+Adj+N -> SP
120,.,PctF,.,. -> PctF
121,»,PctF,Quote_C:»,Quote_C -> PctF
122,Puis,SAdv,Adv:Puis,Adv -> SAdv
123,d'ajouter,SV,P:d' + Vinf:ajouter,P+Vinf -> SV
124,:,PctF,:,: -> PctF
125,« De même,SAdv,Quote_O:« + P:De + Adv:même,Quote_O+P+Adv -> SAdv
126,le vainqueur,SN,Det:le + N:vainqueur,Det+N -> SN
127,sera toujours,SV,Mod:sera + Adv:toujours,Mod+Adv -> SV
128,un club européen riche,SN,Det:un + N:club + Adj:européen + Adj:riche,Det+N+Adj+Adj -> SN
129,hors PSG,SP,P:hors + N_Prop:PSG,P+N_Prop -> SP
130,",",PctNF,",",", -> PctNF"
131,cela,SN,ProS:cela,ProS -> SN
132,ne changera pas,SV,Neg:ne + V:changera(Fut) + Neg:pas,Neg+V+Neg -> SV
133,",",PctNF,",",", -> PctNF"
134,l'esprit,SN,Det:l' + N:esprit,Det+N -> SN
135,de la Coupe,SP,P:de + Det:la + N_Prop:Coupe,P+Det+N_Prop -> SP
136,d'Europe,SP,P:d' + N_Prop:Europe,P+N_Prop -> SP
137,restera,SV,V:restera(Fut),V -> SV
138,le même,SN,Det:le + Adj:même,Det+Adj -> SN
139,.,PctF,.,. -> PctF
140,»,PctF,Quote_C:»,Quote_C -> PctF
141,Cela n'est pas,SujV,ProS:Cela + Neg:n' + Mod:est + Neg:pas,ProS+Neg+Mod+Neg -> SujV
142,sans rappeler,SV,P:sans + Vinf:rappeler,P+Vinf -> SV
143,l'aventure,SN,Det:l' + N:aventure,Det+N -> SN
144,de Gennaro Gattuso,SP,P:de + N_Prop:Gennaro + N_Prop:Gattuso,P+N_Prop+N_Prop -> SP
145,à l'OM,SP,P:à + Det:l' + N_Prop:OM,P+Det+N_Prop -> SP
146,.,PctF,.,. -> PctF
147,L'année dernière,SAdv,Det:L' + N:année + Adj:dernière,Det+N+Adj -> SAdv
148,",",PctNF,",",", -> PctNF"
149,les joueurs,SN,Det:les + N:joueurs,Det+N -> SN
150,et,Coord,CC:et,CC -> Coord
151,les supporters marseillais,SN,Det:les + N:supporters + Adj:marseillais,Det+N+Adj -> SN
152,avaient mis,SV,Aux:avaient + Vpart:mis,Aux+Vpart -> SV
153,cinq mois,SN,Num:cinq + N:mois,Num+N -> SN
154,à comprendre,SV,P:à + Vinf:comprendre,P+Vinf -> SV
155,le projet,SN,Det:le + N:projet,Det+N -> SN
156,de jeu,SP,P:de + N:jeu,P+N -> SP
157,de l'entraîneur italien,SP,P:de + Det:l' + N:entraîneur + Adj:italien,P+Det+N+Adj -> SP
158,.,PctF,.,. -> PctF
159,Hélas,Interj,Interj:Hélas,Interj -> Interj
160,",",PctNF,",",", -> PctNF"
161,il était parti,SujV,PPS:il + Aux:était + Vpart:parti,PPS+Aux+Vpart -> SujV
162,dans la foulée,SP,P:dans + Det:la + N:foulée,P+Det+N -> SP
163,.,PctF,.,. -> PctF
